platform_id,cycle_number,latitude,longitude,timestamp,pressure,temperature,salinity
1902670,11,4.833333333333333,88.9,2024-01-04 14:00:31,820.47986,11.355058,34.74219
1902670,12,4.666666666666667,88.51666666666667,2024-01-14 14:04:59,808.704,11.614532,34.89236
1902670,13,4.866666666666667,88.86666666666666,2024-01-24 13:57:49,808.6457,12.047467,34.923725
1902670,14,5.266666666666667,88.7,2024-02-03 13:57:57,828.30975,12.056778,34.910233
1902670,15,5.483333333333333,88.43333333333334,2024-02-13 13:55:56,792.91705,11.982449,34.835888
1902670,16,5.983333333333333,87.88333333333334,2024-02-23 14:12:13,820.46735,11.740279,34.622803
1902670,17,6.45,87.28333333333333,2024-03-04 14:08:12,808.77655,12.020942,34.668724
1902670,18,6.533333333333333,87.08333333333333,2024-03-14 14:06:30,808.68726,11.648292,34.65111
1902670,19,6.283333333333333,87.4,2024-03-24 14:07:55,808.7175,11.707555,34.642372
1902670,20,5.833333333333333,87.85,2024-04-03 14:05:03,808.6397,11.710165,34.642937
1902670,21,5.666666666666667,88.25,2024-04-13 13:29:02,820.474,11.677856,34.684902
1902670,22,5.783333333333333,88.35,2024-04-23 14:12:30,820.5192,11.7422495,34.663975
1902670,23,6,88.16666666666667,2024-05-03 13:51:55,820.4259,12.051481,34.773792
1902670,24,6,87.73333333333333,2024-05-13 13:50:30,808.62524,12.097231,34.81577
1902670,25,6.016666666666667,87.13333333333334,2024-05-23 14:05:27,804.7317,11.89509,34.82089
1902670,26,5.816666666666666,86.56666666666666,2024-06-02 14:02:06,808.6738,11.917973,34.765423
1902670,27,5.416666666666667,86.05,2024-06-12 13:57:02,796.90393,12.430606,34.79899
1902670,28,5.083333333333333,85.83333333333333,2024-06-22 13:55:26,796.87354,12.50093,34.84199
1902670,29,4.966666666666667,86,2024-07-02 13:24:59,796.88916,12.440424,34.907684
1902670,30,5.5,85.93333333333334,2024-07-12 13:43:40,820.46155,11.46923,34.803635
1902670,31,6.016666666666667,85.53333333333333,2024-07-22 13:56:59,820.5904,11.87227,34.850613
1902670,32,5.983333333333333,85.11666666666666,2024-08-01 14:11:31,808.71844,12.560623,34.937946
1902670,33,5.533333333333333,84.7,2024-08-11 14:08:55,820.4789,12.231481,34.78408
1902670,34,5.166666666666667,84.93333333333334,2024-08-21 14:06:25,816.551,12.08947,34.82254
1902670,35,5.483333333333333,85.73333333333333,2024-08-31 14:05:28,816.549,12.141991,34.835747
1902670,36,6.533333333333333,86.33333333333333,2024-09-10 13:44:33,785.15546,12.484307,34.839993
1902670,37,7.2,87.03333333333333,2024-09-20 14:01:25,808.6379,11.487484,34.839382
1902670,38,7.2,87.6,2024-09-30 14:08:55,785.1158,11.680565,34.772007
1902670,39,7.05,87.23333333333333,2024-10-10 14:12:55,808.69025,12.102652,34.700085
1902670,40,6.75,86.55,2024-10-20 14:07:55,808.6513,11.836184,34.72595
1902670,41,6.516666666666667,85.6,2024-10-30 14:17:10,796.9098,12.076587,34.73492
1902670,42,5.9,84.75,2024-11-09 13:57:39,796.8892,12.6248255,34.871456
1902670,43,5.333333333333333,83.5,2024-11-19 13:53:25,820.4874,12.537654,34.8989
1902670,44,5.35,82.05,2024-11-29 14:12:51,785.1129,12.466228,34.678516
1902670,45,5.6,81.28333333333333,2024-12-09 14:19:19,808.71747,11.78998,34.344685
1902670,46,5.883333333333333,81.78333333333333,2024-12-18 22:20:31,290.92633,17.193493,33.950306
1902670,47,5.5,82.23333333333333,2024-12-29 14:09:25,820.4366,12.258577,34.709103
1902670,48,4.816666666666666,81.21666666666667,2025-01-08 14:02:16,749.74396,12.89201,34.949116
1902670,49,3.8833333333333333,80.55,2025-01-18 14:06:03,808.7738,12.320282,34.97411
1902670,50,4.266666666666667,80.01666666666667,2025-01-28 13:59:55,773.3679,12.571769,34.9492
1902670,51,4.316666666666666,78.98333333333333,2025-02-07 14:10:04,796.88245,12.266991,34.928528
1902670,52,4.916666666666667,78.4,2025-02-17 14:11:55,773.36694,12.560638,34.959705
1902670,53,5.033333333333333,77.75,2025-02-27 14:14:04,808.6602,12.267583,34.9063
1902670,54,4.633333333333333,77.65,2025-03-09 14:14:25,761.7121,12.367566,34.906284
1902670,55,4.066666666666666,77.66666666666667,2025-03-19 13:58:55,808.67096,12.004991,34.75125
1902670,56,4.166666666666667,77.93333333333334,2025-03-29 14:19:26,773.36,12.27693,34.759792
1902670,57,4.866666666666667,78.45,2025-04-08 14:06:34,796.8707,12.092206,34.74079
1902670,58,5.133333333333334,78.78333333333333,2025-04-18 14:05:09,714.58734,12.714914,34.807205
1902670,59,5.266666666666667,79.1,2025-04-28 14:14:55,749.8469,12.484286,34.78562
1902670,60,5.233333333333333,79.55,2025-05-08 14:14:49,828.3932,11.964942,34.83921
1902670,61,5.233333333333333,79.88333333333334,2025-05-18 14:01:25,796.90485,12.060432,34.853714
1902671,10,17.1,70.21666666666667,2024-01-07 13:48:33,804.7089,12.821398,35.518124
1902671,11,17.55,70.2,2024-01-17 14:08:32,804.6881,12.906407,35.537937
1902671,12,17.8,70.16666666666667,2024-01-27 14:06:03,808.62714,12.760697,35.51718
1902671,13,17.95,70.13333333333334,2024-02-06 14:02:25,808.71466,12.987397,35.509632
1902671,14,17.916666666666668,70.23333333333333,2024-02-16 13:57:05,796.9774,13.008793,35.48667
